Site_Code,Collect Date (local),Water Temperature (ï¿½,E = Estimate; W = Warning; P = Provisional
31D3,3/11/2021,7.4,
31D3,3/12/2021,6.67,
31D3,3/13/2021,6.95,
31D3,3/14/2021,7.01,
31D3,3/15/2021,6.47,
31D3,3/16/2021,6.48,
31D3,3/17/2021,6.8,
31D3,3/18/2021,7.23,
31D3,3/19/2021,7.47,
31D3,3/20/2021,7.68,
31D3,3/21/2021,7.23,
31D3,3/22/2021,7.44,
31D3,3/23/2021,7.55,
31D3,3/24/2021,7.96,
31D3,3/25/2021,8.43,
31D3,3/26/2021,8.42,
31D3,3/27/2021,9.11,
31D3,3/28/2021,8.64,
31D3,3/29/2021,7.47,
31D3,3/30/2021,7.45,
31D3,3/31/2021,8,
31D3,4/1/2021,9.06,
31D3,4/2/2021,9.38,
31D3,4/3/2021,9.69,
31D3,4/4/2021,9.93,
31D3,4/5/2021,9.03,
31D3,4/6/2021,9.01,
31D3,4/7/2021,8.73,
31D3,4/8/2021,8.64,
31D3,4/9/2021,8.29,
31D3,4/10/2021,8.09,
31D3,4/11/2021,7.67,
31D3,4/12/2021,8.04,
31D3,4/13/2021,8.55,
31D3,4/14/2021,9.26,
31D3,4/15/2021,10.36,
31D3,4/16/2021,11.35,
31D3,4/17/2021,12.13,
31D3,4/18/2021,12.71,
31D3,4/19/2021,12.63,
31D3,4/20/2021,12.59,
31D3,4/21/2021,12.44,
31D3,4/22/2021,12.07,
31D3,4/23/2021,11.51,
31D3,4/24/2021,11.41,
31D3,4/25/2021,11.44,
31D3,4/26/2021,11.52,
31D3,4/27/2021,11.29,
31D3,4/28/2021,11.64,
31D3,4/29/2021,12.46,
31D3,4/30/2021,12.91,
31D3,5/1/2021,12.42,
31D3,5/2/2021,11.71,
31D3,5/3/2021,11.45,
31D3,5/4/2021,12.36,
31D3,5/5/2021,12.21,
31D3,5/6/2021,12.91,
31D3,5/7/2021,11.5,
31D3,5/8/2021,11.04,
31D3,5/9/2021,11.24,
31D3,5/10/2021,10.96,
31D3,5/11/2021,11.43,
31D3,5/12/2021,12.35,
31D3,5/13/2021,12.76,
31D3,5/14/2021,13.07,
31D3,5/15/2021,13.16,
31D3,5/16/2021,13.54,
31D3,5/17/2021,13.04,
31D3,5/18/2021,11.69,
31D3,5/19/2021,10.92,
31D3,5/20/2021,10.78,
31D3,5/21/2021,11.3,
31D3,5/22/2021,11.16,
31D3,5/23/2021,11.63,
31D3,5/24/2021,11.67,
31D3,5/25/2021,12.45,
31D3,5/26/2021,12.55,
31D3,5/27/2021,13.12,
31D3,5/28/2021,13.21,
31D3,5/29/2021,13.07,
31D3,5/30/2021,13.6,
31D3,5/31/2021,14.23,
31D3,6/1/2021,15.31,
31D3,6/2/2021,16.3,
31D3,6/3/2021,16.25,
31D3,6/4/2021,15.01,
31D3,6/5/2021,14.05,
31D3,6/6/2021,12.37,
31D3,6/7/2021,13.32,
31D3,6/8/2021,13.28,
31D3,6/9/2021,13.14,
31D3,6/10/2021,12.91,
31D3,6/11/2021,12.86,
31D3,6/12/2021,13.89,
31D3,6/13/2021,15.48,
31D3,6/14/2021,16.55,
31D3,6/15/2021,15.98,
31D3,6/16/2021,15.72,
31D3,6/17/2021,15.37,
31D3,6/18/2021,15.4,
31D3,6/19/2021,15.42,
31D3,6/20/2021,16.5,
31D3,6/21/2021,17.25,
31D3,6/22/2021,17.61,
31D3,6/23/2021,16.8,
31D3,6/24/2021,17.28,
31D3,6/25/2021,18.37,
31D3,6/26/2021,19.93,
31D3,6/27/2021,21.29,
31D3,6/28/2021,22.75,
31D3,6/29/2021,20.96,
31D3,6/30/2021,18.69,
31D3,7/1/2021,18.06,
31D3,7/2/2021,18.26,
31D3,7/3/2021,18.29,
31D3,7/4/2021,17.78,
31D3,7/5/2021,16.83,
31D3,7/6/2021,17.03,
31D3,7/7/2021,16.57,
31D3,7/8/2021,15.42,
31D3,7/9/2021,16.38,
31D3,7/10/2021,17.16,
31D3,7/11/2021,16.96,
31D3,7/12/2021,17.27,
31D3,7/13/2021,17.14,
31D3,7/14/2021,16.42,
31D3,7/15/2021,15.46,
31D3,7/16/2021,15.45,
31D3,7/17/2021,16.25,
31D3,7/18/2021,16.47,
31D3,7/19/2021,16.83,
31D3,7/20/2021,16.17,
31D3,7/21/2021,15.58,
31D3,7/22/2021,15.77,
31D3,7/23/2021,15.79,
31D3,7/24/2021,17.33,
31D3,7/25/2021,17.86,
31D3,7/26/2021,17.79,
31D3,7/27/2021,18.01,
31D3,7/28/2021,18.2,
31D3,7/29/2021,18.44,
31D3,7/30/2021,19.39,
31D3,7/31/2021,19.4,
31D3,8/1/2021,19.18,
31D3,8/2/2021,19.09,
31D3,8/3/2021,19.07,
31D3,8/4/2021,19.12,
31D3,8/5/2021,19.22,
31D3,8/6/2021,18.36,
31D3,8/7/2021,17.43,
31D3,8/8/2021,16.32,
31D3,8/9/2021,16.75,
31D3,8/10/2021,17.85,
31D3,8/11/2021,19.28,
31D3,8/12/2021,20.27,
31D3,8/13/2021,20.98,
31D3,8/14/2021,20.62,
31D3,8/15/2021,20,
31D3,8/16/2021,18.85,
31D3,8/17/2021,16.07,
31D3,8/18/2021,16.61,
31D3,8/19/2021,17.91,
31D3,8/20/2021,16.43,
31D3,8/21/2021,15.84,
31D3,8/22/2021,15.83,
31D3,8/23/2021,15.68,
31D3,8/24/2021,15.83,
31D3,8/25/2021,16.47,
31D3,8/26/2021,16.26,
31D3,8/27/2021,15.7,
31D3,8/28/2021,15.91,
31D3,8/29/2021,16.78,
31D3,8/30/2021,15.3,
31D3,8/31/2021,14.25,
31D3,9/1/2021,13.97,
31D3,9/2/2021,15.2,
31D3,9/3/2021,15.84,
31D3,9/4/2021,16.54,
31D3,9/5/2021,18.17,
31D3,9/6/2021,17.57,
31D3,9/7/2021,17.41,
31D3,9/8/2021,19.06,
31D3,9/9/2021,18.34,
31D3,9/10/2021,16.94,
31D3,9/11/2021,17.04,
31D3,9/12/2021,15.99,
31D3,9/13/2021,15.55,
31D3,9/14/2021,14.8,
31D3,9/15/2021,14.62,
31D3,9/16/2021,13.66,
31D3,9/17/2021,14.1,
31D3,9/18/2021,15.19,
31D3,9/19/2021,14.58,
31D3,9/20/2021,14.7,
31D3,9/21/2021,14.28,
31D3,9/22/2021,14.43,
31D3,9/23/2021,14.46,
31D3,9/24/2021,14.57,
31D3,9/25/2021,15.16,
31D3,9/26/2021,14.49,
31D3,9/27/2021,14.6,
31D3,9/28/2021,13.89,
31D3,9/29/2021,13.41,
31D3,9/30/2021,13.86,
31D3,10/1/2021,13.75,
31D3,10/2/2021,12.99,
31D3,10/3/2021,12.73,
31D3,10/4/2021,12.52,
31D3,10/5/2021,12.24,
31D3,10/6/2021,11.8,
31D3,10/7/2021,11.18,
31D3,10/8/2021,10.04,
31D3,10/9/2021,9.96,
31D3,10/10/2021,10.66,
31D3,10/11/2021,10,
31D3,10/12/2021,8.98,
31D3,10/13/2021,9.44,
31D3,10/14/2021,9.98,
31D3,10/15/2021,10.53,
31D3,10/16/2021,11.3,
31D3,10/17/2021,11.16,
31D3,10/18/2021,10.53,
31D3,10/19/2021,10.32,
31D3,10/20/2021,11.12,
31D3,10/21/2021,11.23,
31D3,10/22/2021,12.03,
31D3,10/23/2021,11.49,
31D3,10/24/2021,11.22,
31D3,10/25/2021,10.94,
31D3,10/26/2021,10.96,
31D3,10/27/2021,10.91,
31D3,10/28/2021,11.73,
31D3,10/29/2021,12.09,
31D3,10/30/2021,10.81,
31D3,10/31/2021,10.08,
31D3,11/1/2021,9.78,
31D3,11/2/2021,9.76,
31D3,11/3/2021,10.24,
31D3,11/4/2021,11.01,
31D3,11/5/2021,10.79,
31D3,11/6/2021,9.99,
31D3,11/7/2021,9.19,
31D3,11/8/2021,8.8,
31D3,11/9/2021,8.83,
31D3,11/10/2021,8.73,
31D3,11/11/2021,9.29,
31D3,11/12/2021,10.54,
31D3,11/13/2021,10.47,
31D3,11/14/2021,11.23,
31D3,11/15/2021,11.7,
31D3,11/16/2021,10.13,
31D3,11/17/2021,8.48,
31D3,11/18/2021,7.92,
31D3,11/19/2021,8.15,
31D3,11/20/2021,8.15,
31D3,11/21/2021,7.51,
31D3,11/22/2021,6.89,
31D3,11/23/2021,7.45,
31D3,11/24/2021,7.42,
31D3,11/25/2021,7.72,
31D3,11/26/2021,8.56,
31D3,11/27/2021,9.23,
31D3,11/28/2021,10.27,
31D3,11/29/2021,10.57,
31D3,11/30/2021,10.61,
31D3,12/1/2021,10.79,
31D3,12/2/2021,10.46,
31D3,12/3/2021,8.12,
31D3,12/4/2021,7.32,
31D3,12/5/2021,6.68,
31D3,12/6/2021,6.69,
31D3,12/7/2021,7.81,
31D3,12/8/2021,8.02,
31D3,12/9/2021,6.96,
31D3,12/10/2021,6.51,
31D3,12/11/2021,7.07,
31D3,12/12/2021,6.51,
31D3,12/13/2021,6.26,
31D3,12/14/2021,5.84,
31D3,12/15/2021,5.58,
31D3,12/16/2021,5.75,
31D3,12/17/2021,5.65,
31D3,12/18/2021,5.98,
31D3,12/19/2021,5.96,
31D3,12/20/2021,4.81,
31D3,12/21/2021,4.92,
31D3,12/22/2021,6.14,
31D3,12/23/2021,6.37,
31D3,12/24/2021,5.91,
31D3,12/25/2021,5.22,
31D3,12/26/2021,3.73,
31D3,12/27/2021,2.16,
31D3,12/28/2021,2.24,
31D3,12/29/2021,2.13,
31D3,12/30/2021,2.05,
31D3,12/31/2021,2.19,
31D3,1/1/2022,1.66,
31D3,1/2/2022,2.16,
31D3,1/3/2022,2.63,
31D3,1/4/2022,3.44,
31D3,1/5/2022,3.9,
31D3,1/6/2022,4.18,
31D3,1/7/2022,5.31,
31D3,1/8/2022,5.29,
31D3,1/9/2022,4.8,
31D3,1/10/2022,5.01,
31D3,1/11/2022,6.63,
31D3,1/12/2022,7.6,
31D3,1/13/2022,7.43,
31D3,1/14/2022,7.04,
31D3,1/15/2022,6.54,
31D3,1/16/2022,6.65,
31D3,1/17/2022,6.61,
31D3,1/18/2022,7.22,
31D3,1/19/2022,7.32,
31D3,1/20/2022,8.08,
31D3,1/21/2022,7.45,
31D3,1/22/2022,5.93,
31D3,1/23/2022,5.32,
31D3,1/24/2022,4.98,
31D3,1/25/2022,4.68,
31D3,1/26/2022,4.41,
31D3,1/27/2022,4.1,
31D3,1/28/2022,3.86,
31D3,1/29/2022,4.07,
31D3,1/30/2022,5.46,
31D3,1/31/2022,5.29,
31D3,2/1/2022,5.01,
31D3,2/2/2022,4.57,
31D3,2/3/2022,5.46,
31D3,2/4/2022,6.06,
31D3,2/5/2022,6.51,
31D3,2/6/2022,5.87,
31D3,2/7/2022,6.06,
31D3,2/8/2022,6.36,
31D3,2/9/2022,7.21,
31D3,2/10/2022,7.42,
31D3,2/11/2022,7.44,
31D3,2/12/2022,6.16,
31D3,2/13/2022,5.52,
31D3,2/14/2022,6.4,
31D3,2/15/2022,6.6,
31D3,2/16/2022,6.43,
31D3,2/17/2022,5.81,
31D3,2/18/2022,6.92,
31D3,2/19/2022,6.62,
31D3,2/20/2022,6.44,
31D3,2/21/2022,5.97,
31D3,2/22/2022,3.81,
31D3,2/23/2022,1.88,
31D3,2/24/2022,2.39,
31D3,2/25/2022,2.33,
31D3,2/26/2022,3.52,
31D3,2/27/2022,5.45,
31D3,2/28/2022,7.5,
31D3,3/1/2022,8.64,
31D3,3/2/2022,8.42,
31D3,3/3/2022,8.4,
31D3,3/4/2022,8.04,
31D3,3/5/2022,8.13,
31D3,3/6/2022,7.33,
31D3,3/7/2022,6.96,
31D3,3/8/2022,7.31,
31D3,3/9/2022,6.58,
31D3,3/10/2022,5.73,
31D3,3/11/2022,6.39,
31D3,3/12/2022,7.5,
31D3,3/13/2022,8.19,
31D3,3/14/2022,8.26,
31D3,3/15/2022,8.52,
31D3,3/16/2022,8.76,
31D3,3/17/2022,8.63,
31D3,3/18/2022,9.18,
31D3,3/19/2022,9.35,
31D3,3/20/2022,8.1,
31D3,3/21/2022,8.29,
31D3,3/22/2022,9.91,
31D3,3/23/2022,10.09,
31D3,3/24/2022,9.14,
31D3,3/25/2022,9.81,
31D3,3/26/2022,10.42,
31D3,3/27/2022,11.53,
31D3,3/28/2022,11.62,
31D3,3/29/2022,11.33,
31D3,3/30/2022,10.76,
31D3,3/31/2022,10.09,
31D3,4/1/2022,9.8,
31D3,4/2/2022,10.02,
31D3,4/3/2022,9.73,
31D3,4/4/2022,9.29,
31D3,4/5/2022,8.8,
31D3,4/6/2022,9.35,
31D3,4/7/2022,11.38,
31D3,4/8/2022,11.72,
31D3,4/9/2022,9.85,
31D3,4/10/2022,8.68,
31D3,4/11/2022,8.39,
31D3,4/12/2022,8.15,
31D3,4/13/2022,7.28,
31D3,4/14/2022,7.51,
31D3,4/15/2022,8.09,
31D3,4/16/2022,7.85,
31D3,4/17/2022,8.44,
31D3,4/18/2022,9.34,
31D3,4/19/2022,9.09,
31D3,4/20/2022,8.61,
31D3,4/21/2022,9.44,
31D3,4/22/2022,9.84,
31D3,4/23/2022,11.12,
31D3,4/24/2022,11.54,
31D3,4/25/2022,11.57,
31D3,4/26/2022,10.3,
31D3,4/27/2022,10.21,
31D3,4/28/2022,10.2,
31D3,4/29/2022,10.87,
31D3,4/30/2022,12.28,
31D3,5/1/2022,12.36,
31D3,5/2/2022,12.15,
31D3,5/3/2022,11.69,
31D3,5/4/2022,12.17,
31D3,5/5/2022,12.21,
31D3,5/6/2022,11.56,
31D3,5/7/2022,11.68,
31D3,5/8/2022,11.38,
31D3,5/9/2022,11.61,
31D3,5/10/2022,11.58,
31D3,5/11/2022,11.96,
31D3,5/12/2022,11.41,
31D3,5/13/2022,11.36,
31D3,5/14/2022,12.15,
31D3,5/15/2022,13.13,
31D3,5/16/2022,13.74,
31D3,5/17/2022,12.79,
31D3,5/18/2022,12.71,
31D3,5/19/2022,12.17,
31D3,5/20/2022,11.64,
31D3,5/21/2022,12.34,
31D3,5/22/2022,13.21,
31D3,5/23/2022,14.05,
31D3,5/24/2022,13.84,
31D3,5/25/2022,14.13,
31D3,5/26/2022,14.55,
31D3,5/27/2022,14.55,
31D3,5/28/2022,13.63,
31D3,5/29/2022,12.87,
31D3,5/30/2022,12.24,
31D3,5/31/2022,13.04,
31D3,6/1/2022,14.3,
31D3,6/2/2022,15.17,
31D3,6/3/2022,15.55,
31D3,6/4/2022,15.87,
31D3,6/5/2022,16.3,
31D3,6/6/2022,15.38,
31D3,6/7/2022,15.11,
31D3,6/8/2022,15.8,
31D3,6/9/2022,15.52,
31D3,6/10/2022,15.87,
31D3,6/11/2022,15.86,
31D3,6/12/2022,14.95,
31D3,6/13/2022,13.56,
31D3,6/14/2022,13.36,
31D3,6/15/2022,13.7,
